seed_percent,replication,num_seeds,expand_window,reached_in_window,reached_proportion
0.05,42,204,2,1119,0.22228843861740166
0.05,42,204,3,1177,0.23381009137862535
0.05,42,204,5,1206,0.2395709177592372
0.05,42,204,9,1253,0.24890742947953914
0.05,42,204,15,1278,0.25387365911799764
0.05,42,204,25,1280,0.2542709574890743
0.05,43,611,0,1321,0.2624155740961462
0.05,43,611,1,1597,0.31724274930472784
0.05,43,611,2,1682,0.3341279300754867
0.05,43,611,3,1752,0.34803337306317045
0.05,43,611,5,1835,0.3645212554628526
0.05,43,611,9,1918,0.38100913786253476
0.05,43,611,15,1953,0.3879618593563766
0.05,43,611,25,1954,0.388160508541915
0.05,44,316,0,894,0.17759237187127533
0.05,44,316,1,1135,0.2254668255860151
0.05,44,316,2,1245,0.24731823599523242
0.05,44,316,3,1313,0.2608263806118395
0.05,44,316,5,1380,0.27413587604290823
0.05,44,316,9,1470,0.29201430274135876
0.05,44,316,15,1496,0.29717918156535555
0.05,44,316,25,1498,0.29757647993643227
0.05,45,135,0,473,0.09396106475963449
0.05,45,135,1,655,0.13011521652761224
0.05,45,135,2,733,0.1456098529996027
0.05,45,135,3,794,0.1577274533174414
0.05,45,135,5,889,0.17659912594358362
0.05,45,135,9,952,0.18911402463249902
0.05,45,135,15,960,0.1907032181168057
0.05,45,135,25,961,0.19090186730234407
0.05,46,281,0,913,0.18136670639650376
0.05,46,281,1,1190,0.23639253079062375
0.05,46,281,2,1319,0.2620182757250695
0.05,46,281,3,1355,0.26916964640444974
0.05,46,281,5,1401,0.27830750893921335
0.05,46,281,9,1418,0.2816845450933651
0.05,46,281,15,1426,0.28327373857767185
0.05,46,281,25,1429,0.28386968613428687
0.05,47,159,0,571,0.11342868494239174
0.05,47,159,1,734,0.14580850218514105
0.05,47,159,2,804,0.15971394517282478
0.05,47,159,3,822,0.1632896305125149
0.05,47,159,5,875,0.1738180373460469
0.05,47,159,9,907,0.18017481128327373
0.05,47,159,15,912,0.18116805721096543
0.05,47,159,25,912,0.18116805721096543
0.05,48,176,0,630,0.12514898688915377
0.05,48,176,1,801,0.15911799761620976
0.05,48,176,2,847,0.16825586015097338
0.05,48,176,3,899,0.17858561779896703
0.05,48,176,5,947,0.1881207787048073
0.05,48,176,9,985,0.1956694477552642
0.05,48,176,15,993,0.19725864123957093
0.05,48,176,25,994,0.19745729042510926
0.05,49,365,0,828,0.16448152562574495
0.05,49,365,1,1066,0.21176003178386968
0.05,49,365,2,1148,0.2280492649980135
0.05,49,365,3,1198,0.23798172427493047
0.05,49,365,5,1236,0.24553039332538737
0.05,49,365,9,1260,0.25029797377830754
0.05,49,365,15,1263,0.25089392133492255
0.05,49,365,25,1264,0.25109257052046086
0.05,50,219,0,656,0.13031386571315057
0.05,50,219,1,846,0.16805721096543505
0.05,50,219,2,962,0.1911005164878824
0.05,50,219,3,1064,0.21136273341279302
0.05,50,219,5,1151,0.22864521255462852
0.05,50,219,9,1182,0.23480333730631706
0.05,50,219,15,1185,0.23539928486293207
0.05,50,219,25,1186,0.2355979340484704
0.1,1,823,0,1734,0.34445768772348034
0.1,1,823,1,2086,0.41438220103297574
0.1,1,823,2,2191,0.4352403655145014
0.1,1,823,3,2257,0.4483512117600318
0.1,1,823,5,2340,0.464839094159714
0.1,1,823,9,2451,0.4868891537544696
0.1,1,823,15,2483,0.49324592769169645
0.1,1,823,25,2486,0.49384187524831147
0.1,2,487,0,1366,0.27135478744537145
0.1,2,487,1,1686,0.33492252681764006
0.1,2,487,2,1815,0.3605482717520858
0.1,2,487,3,1860,0.3694874851013111
0.1,2,487,5,1903,0.3780294000794597
0.1,2,487,9,1962,0.38974970202622167
0.1,2,487,15,1975,0.3923321414382201
0.1,2,487,25,1981,0.39352403655145013
0.1,3,548,0,1483,0.2945967421533572
0.1,3,548,1,1819,0.3613428684942392
0.1,3,548,2,1921,0.3816050854191498
0.1,3,548,3,1961,0.38955105284068337
0.1,3,548,5,2006,0.3984902661899086
0.1,3,548,9,2037,0.40464839094159716
0.1,3,548,15,2045,0.40623758442590385
0.1,3,548,25,2045,0.40623758442590385
0.1,4,596,0,1498,0.29757647993643227
0.1,4,596,1,1825,0.3625347636074692
0.1,4,596,2,1926,0.38259833134684146
0.1,4,596,3,2003,0.3978943186332936
0.1,4,596,5,2093,0.41577274533174413
0.1,4,596,9,2133,0.4237187127532777
0.1,4,596,15,2141,0.4253079062375844
0.1,4,596,25,2143,0.4257052046086611
0.1,5,545,0,1446,0.2872467222884386
0.1,5,545,1,1747,0.34704012713547877
0.1,5,545,2,1866,0.3706793802145411
0.1,5,545,3,1931,0.3835915772745332
0.1,5,545,5,2034,0.40405244338498214
0.1,5,545,9,2131,0.42332141438220106
0.1,5,545,15,2171,0.4312673818037346
0.1,5,545,25,2173,0.4316646801748113
0.1,6,447,0,1312,0.26062773142630113
0.1,6,447,1,1647,0.32717520858164484
0.1,6,447,2,1745,0.34664282876440206
0.1,6,447,3,1775,0.35260230433055223
0.1,6,447,5,1813,0.36015097338100915
0.1,6,447,9,1894,0.3762415574096146
0.1,6,447,15,1923,0.38200238379022644
0.1,6,447,25,1925,0.38239968216130316
0.1,7,419,0,1161,0.2306317044100119
0.1,7,419,1,1489,0.2957886372665872
0.1,7,419,2,1639,0.3255860150973381
0.1,7,419,3,1714,0.3404847040127135
0.1,7,419,5,1817,0.3609455701231625
0.1,7,419,9,1872,0.37187127532777114
0.1,7,419,15,1880,0.3734604688120779
0.1,7,419,25,1880,0.3734604688120779
0.1,8,379,0,1053,0.20917759237187128
0.1,8,379,1,1329,0.26400476758045294
0.1,8,379,2,1439,0.2858561779896702
0.1,8,379,3,1508,0.2995629717918157
0.1,8,379,5,1587,0.31525625744934443
0.1,8,379,9,1640,0.32578466428287645
0.1,8,379,15,1646,0.3269765593961065
0.1,8,379,25,1649,0.3275725069527215
0.1,9,660,0,1622,0.32220897894318634
0.1,9,660,1,1929,0.3831942789034565
0.1,9,660,2,2029,0.4030591974572904
0.1,9,660,3,2099,0.41696464044497417
0.1,9,660,5,2157,0.42848629320619785
0.1,9,660,9,2199,0.4368295589988081
0.1,9,660,15,2207,0.4384187524831148
0.1,9,660,25,2208,0.43861740166865315
0.1,10,674,0,1654,0.3285657528804132
0.1,10,674,1,1983,0.39392133492252684
0.1,10,674,2,2111,0.41934843067143424
0.1,10,674,3,2198,0.43663090981326974
0.1,10,674,5,2240,0.44497417560588004
0.1,10,674,9,2270,0.4509336511720302
0.1,10,674,15,2284,0.45371473976956694
0.1,10,674,25,2289,0.4547079856972586
0.1,11,441,0,1249,0.24811283273738577
0.1,11,441,1,1639,0.3255860150973381
0.1,11,441,2,1816,0.36074692093762417
0.1,11,441,3,1864,0.37028208184346445
0.1,11,441,5,1983,0.39392133492252684
0.1,11,441,9,2041,0.4054429876837505
0.1,11,441,15,2050,0.40723083035359553
0.1,11,441,25,2052,0.40762812872467225
0.1,12,905,0,1901,0.377632101708383
0.1,12,905,1,2255,0.4479539133889551
0.1,12,905,2,2348,0.46642828764402067
0.1,12,905,3,2400,0.4767580452920143
0.1,12,905,5,2477,0.4920540325784664
0.1,12,905,9,2530,0.5025824394119984
0.1,12,905,15,2547,0.5059594755661502
0.1,12,905,25,2552,0.5069527214938419
0.1,13,419,0,1323,0.2628128724672229
0.1,13,419,1,1653,0.3283671036948749
0.1,13,419,2,1773,0.35220500595947557
0.1,13,419,3,1824,0.36233611442193087
0.1,13,419,5,1908,0.37902264600715135
0.1,13,419,9,1954,0.388160508541915
0.1,13,419,15,1963,0.38994835121176
0.1,13,419,25,1966,0.39054429876837504
0.1,14,417,0,1246,0.24751688518077075
0.1,14,417,1,1535,0.30492649980135084
0.1,14,417,2,1654,0.3285657528804132
0.1,14,417,3,1737,0.34505363528009536
0.1,14,417,5,1787,0.3549860945570123
0.1,14,417,9,1823,0.3621374652363925
0.1,14,417,15,1843,0.36611044894715933
0.1,14,417,25,1843,0.36611044894715933
0.1,15,431,0,1207,0.23976956694477553
0.1,15,431,1,1528,0.30353595550258244
0.1,15,431,2,1615,0.32081843464441795
0.1,15,431,3,1661,0.32995629717918157
0.1,15,431,5,1714,0.3404847040127135
0.1,15,431,9,1770,0.35160905840286055
0.1,15,431,15,1776,0.3528009535160906
0.1,15,431,25,1779,0.3533969010727056
0.1,16,316,0,1009,0.20043702820818435
0.1,16,316,1,1229,0.244139849026619
0.1,16,316,2,1314,0.26102502979737785
0.1,16,316,3,1370,0.2721493841875248
0.1,16,316,5,1433,0.2846642828764402
0.1,16,316,9,1458,0.2896305125148987
0.1,16,316,15,1466,0.2912197059992054
0.1,16,316,25,1468,0.2916170043702821
0.1,17,502,0,1334,0.2649980135081446
0.1,17,502,1,1707,0.3390941597139452
0.1,17,502,2,1819,0.3613428684942392
0.1,17,502,3,1872,0.37187127532777114
0.1,17,502,5,1957,0.38875645609853
0.1,17,502,9,1994,0.39610647596344856
0.1,17,502,15,2008,0.3988875645609853
0.1,17,502,25,2011,0.3994835121176003
0.1,18,629,0,1470,0.29201430274135876
0.1,18,629,1,1872,0.37187127532777114
0.1,18,629,2,1961,0.38955105284068337
0.1,18,629,3,2010,0.399284862932062
0.1,18,629,5,2071,0.41140246324990065
0.1,18,629,9,2105,0.4181565355582042
0.1,18,629,15,2126,0.4223281684545093
0.1,18,629,25,2126,0.4223281684545093
0.1,19,414,0,1097,0.2179181565355582
0.1,19,414,1,1431,0.28426698450536353
0.1,19,414,2,1572,0.31227651966626935
0.1,19,414,3,1667,0.3311481922924116
0.1,19,414,5,1830,0.3635280095351609
0.1,19,414,9,1952,0.3877632101708383
0.1,19,414,15,1955,0.38835915772745333
0.1,19,414,25,1957,0.38875645609853
0.1,20,462,0,1386,0.27532777115613827
0.1,20,462,1,1684,0.33452522844656335
0.1,20,462,2,1804,0.3583631307111641
0.1,20,462,3,1883,0.3740564163686929
0.1,20,462,5,1945,0.3863726658720699
0.1,20,462,9,2001,0.39749702026221695
0.1,20,462,15,2026,0.4024632499006754
0.1,20,462,25,2028,0.4028605482717521
0.1,21,348,0,999,0.19845053635280097
0.1,21,348,1,1394,0.27691696464044496
0.1,21,348,2,1571,0.31207787048073105
0.1,21,348,3,1667,0.3311481922924116
0.1,21,348,5,1744,0.34644417957886375
0.1,21,348,9,1794,0.3563766388557807
0.1,21,348,15,1810,0.35955502582439414
0.1,21,348,25,1811,0.35975367500993244
0.1,22,477,0,1236,0.24553039332538737
0.1,22,477,1,1514,0.3007548669050457
0.1,22,477,2,1603,0.3184346444179579
0.1,22,477,3,1666,0.33094954310687325
0.1,22,477,5,1752,0.34803337306317045
0.1,22,477,9,1797,0.3569725864123957
0.1,22,477,15,1808,0.3591577274533174
0.1,22,477,25,1808,0.3591577274533174
0.1,23,501,0,1343,0.26678585617798967
0.1,23,501,1,1681,0.33392928088994833
0.1,23,501,2,1835,0.3645212554628526
0.1,23,501,3,1911,0.37961859356376637
0.1,23,501,5,2023,0.4018673023440604
0.1,23,501,9,2063,0.40981326976559396
0.1,23,501,15,2070,0.41120381406436235
0.1,23,501,25,2070,0.41120381406436235
0.1,24,398,0,1183,0.23500198649185539
0.1,24,398,1,1513,0.30055621771950736
0.1,24,398,2,1643,0.32638061183949146
0.1,24,398,3,1703,0.3382995629717918
0.1,24,398,5,1771,0.3518077075883989
0.1,24,398,9,1828,0.36313071116408424
0.1,24,398,15,1853,0.3680969408025427
0.1,24,398,25,1855,0.3684942391736194
0.1,25,454,0,1253,0.24890742947953914
0.1,25,454,1,1581,0.3140643623361144
0.1,25,454,2,1711,0.3398887564560985
0.1,25,454,3,1771,0.3518077075883989
0.1,25,454,5,1857,0.36889153754469606
0.1,25,454,9,1949,0.3871672626142233
0.1,25,454,15,1994,0.39610647596344856
0.1,25,454,25,2000,0.3972983710766786
0.1,26,499,0,1310,0.2602304330552245
0.1,26,499,1,1587,0.31525625744934443
0.1,26,499,2,1690,0.3357171235597934
0.1,26,499,3,1744,0.34644417957886375
0.1,26,499,5,1827,0.3629320619785459
0.1,26,499,9,1875,0.37246722288438616
0.1,26,499,15,1888,0.3750496622963846
0.1,26,499,25,1897,0.37683750496622964
0.1,27,461,0,1254,0.24910607866507747
0.1,27,461,1,1528,0.30353595550258244
0.1,27,461,2,1641,0.3259833134684148
0.1,27,461,3,1730,0.34366309098132697
0.1,27,461,5,1844,0.36630909813269763
0.1,27,461,9,1896,0.3766388557806913
0.1,27,461,15,1901,0.377632101708383
0.1,27,461,25,1901,0.377632101708383
0.1,28,472,0,1394,0.27691696464044496
0.1,28,472,1,1732,0.34406038935240363
0.1,28,472,2,1879,0.37326181962653954
0.1,28,472,3,1934,0.3841875248311482
0.1,28,472,5,2018,0.4008740564163687
0.1,28,472,9,2049,0.40703218116805723
0.1,28,472,15,2063,0.40981326976559396
0.1,28,472,25,2067,0.41060786650774733
0.1,29,627,0,1513,0.30055621771950736
0.1,29,627,1,1804,0.3583631307111641
0.1,29,627,2,1902,0.3778307508939213
0.1,29,627,3,1954,0.388160508541915
0.1,29,627,5,2037,0.40464839094159716
0.1,29,627,9,2082,0.4135876042908224
0.1,29,627,15,2099,0.41696464044497417
0.1,29,627,25,2100,0.4171632896305125
0.1,30,444,0,1182,0.23480333730631706
0.1,30,444,1,1495,0.29698053237981725
0.1,30,444,2,1661,0.32995629717918157
0.1,30,444,3,1715,0.3406833531982519
0.1,30,444,5,1822,0.3619388160508542
0.1,30,444,9,1861,0.36968613428684943
0.1,30,444,15,1884,0.3742550655542312
