seed_percent,replication,num_seeds_used,num_seeds_found,expand_window,reached_in_window,reached_proportion
0.05,18,582,13,0,43,0.00852836176120587
0.05,18,582,13,1,48,0.009520031733439112
0.05,18,582,13,2,53,0.010511701705672352
0.05,18,582,13,3,54,0.010710035700119
0.05,18,582,13,5,62,0.012296707655692185
0.05,18,582,13,9,63,0.012495041650138834
0.05,18,582,13,15,63,0.012495041650138834
0.05,18,582,13,25,63,0.012495041650138834
0.05,19,582,18,0,131,0.02598175327251091
0.05,19,582,18,1,175,0.034708449028163425
0.05,19,582,18,2,190,0.03768345894486315
0.05,19,582,18,3,208,0.041253470844902815
0.05,19,582,18,5,259,0.05136850456168187
0.05,19,582,18,9,332,0.06584688615628718
0.05,19,582,18,15,332,0.06584688615628718
0.05,19,582,18,25,332,0.06584688615628718
0.05,20,582,30,0,94,0.018643395477984926
0.05,20,582,30,1,118,0.023403411344704483
0.05,20,582,30,2,128,0.025386751289170964
0.05,20,582,30,3,129,0.025585085283617613
0.05,20,582,30,5,132,0.026180087266957558
0.05,20,582,30,9,138,0.027370091233637445
0.05,20,582,30,15,139,0.027568425228084094
0.05,20,582,30,25,140,0.027766759222530742
0.05,21,582,11,0,20,0.003966679888932963
0.05,21,582,11,1,28,0.005553351844506148
0.05,21,582,11,2,38,0.00753669178897263
0.05,21,582,11,3,38,0.00753669178897263
0.05,21,582,11,5,43,0.00852836176120587
0.05,21,582,11,9,43,0.00852836176120587
0.05,21,582,11,15,43,0.00852836176120587
0.05,21,582,11,25,43,0.00852836176120587
0.05,22,582,37,0,192,0.038080126933756446
0.05,22,582,37,1,258,0.051170170567235225
0.05,22,582,37,2,288,0.057120190400634666
0.05,22,582,37,3,290,0.05751685838952796
0.05,22,582,37,5,291,0.057715192383974614
0.05,22,582,37,9,295,0.05850852836176121
0.05,22,582,37,15,295,0.05850852836176121
0.05,22,582,37,25,295,0.05850852836176121
0.05,23,582,7,0,19,0.003768345894486315
0.05,23,582,7,1,20,0.003966679888932963
0.05,23,582,7,2,24,0.004760015866719556
0.05,23,582,7,3,24,0.004760015866719556
0.05,23,582,7,5,24,0.004760015866719556
0.05,23,582,7,9,25,0.004958349861166204
0.05,23,582,7,15,25,0.004958349861166204
0.05,23,582,7,25,25,0.004958349861166204
0.05,24,582,31,0,108,0.021420071400238
0.05,24,582,31,1,155,0.030741769139230463
0.05,24,582,31,2,192,0.038080126933756446
0.05,24,582,31,3,219,0.043435144783815945
0.05,24,582,31,5,283,0.05612852042840143
0.05,24,582,31,9,283,0.05612852042840143
0.05,24,582,31,15,283,0.05612852042840143
0.05,24,582,31,25,283,0.05612852042840143
0.05,25,582,39,0,139,0.027568425228084094
0.05,25,582,39,1,224,0.044426814756049184
0.05,25,582,39,2,239,0.04740182467274891
0.05,25,582,39,3,245,0.0485918286394288
0.05,25,582,39,5,278,0.05513685045616819
0.05,25,582,39,9,281,0.05573185243950813
0.05,25,582,39,15,281,0.05573185243950813
0.05,25,582,39,25,281,0.05573185243950813
0.1,1,1164,19,0,51,0.010115033716779055
0.1,1,1164,19,1,61,0.012098373661245538
0.1,1,1164,19,2,67,0.013288377627925426
0.1,1,1164,19,3,70,0.013883379611265371
0.1,1,1164,19,5,79,0.015668385561285206
0.1,1,1164,19,9,80,0.01586671955573185
0.1,1,1164,19,15,80,0.01586671955573185
0.1,1,1164,19,25,80,0.01586671955573185
0.1,2,1164,22,0,64,0.012693375644585482
0.1,2,1164,22,1,109,0.02161840539468465
0.1,2,1164,22,2,122,0.024196747322491077
0.1,2,1164,22,3,126,0.024990083300277667
0.1,2,1164,22,5,131,0.02598175327251091
0.1,2,1164,22,9,132,0.026180087266957558
0.1,2,1164,22,15,133,0.026378421261404203
0.1,2,1164,22,25,134,0.02657675525585085
0.1,3,1164,43,0,237,0.04700515668385561
0.1,3,1164,43,1,297,0.058905196350654505
0.1,3,1164,43,2,307,0.06088853629512098
0.1,3,1164,43,3,319,0.06326854422848076
0.1,3,1164,43,5,325,0.06445854819516066
0.1,3,1164,43,9,332,0.06584688615628718
0.1,3,1164,43,15,337,0.06683855612852042
0.1,3,1164,43,25,337,0.06683855612852042
0.1,4,1164,61,0,253,0.050178500595001986
0.1,4,1164,61,1,321,0.06366521221737406
0.1,4,1164,61,2,341,0.06763189210630702
0.1,4,1164,61,3,349,0.0692185640618802
0.1,4,1164,61,5,398,0.07893692978976596
0.1,4,1164,61,9,413,0.0819119397064657
0.1,4,1164,61,15,414,0.08211027370091234
0.1,4,1164,61,25,415,0.08230860769535898
0.1,5,1164,38,0,101,0.020031733439111465
0.1,5,1164,38,1,140,0.027766759222530742
0.1,5,1164,38,2,150,0.029750099166997224
0.1,5,1164,38,3,155,0.030741769139230463
0.1,5,1164,38,5,165,0.03272510908369695
0.1,5,1164,38,9,168,0.03332011106703689
0.1,5,1164,38,15,168,0.03332011106703689
0.1,5,1164,38,25,168,0.03332011106703689
0.1,6,1164,57,0,208,0.041253470844902815
0.1,6,1164,57,1,280,0.055533518445061485
0.1,6,1164,57,2,302,0.059896866322887744
0.1,6,1164,57,3,322,0.06386354621182071
0.1,6,1164,57,5,340,0.06743355811186037
0.1,6,1164,57,9,350,0.06941689805632685
0.1,6,1164,57,15,355,0.07040856802856009
0.1,6,1164,57,25,355,0.07040856802856009
0.1,7,1164,22,0,148,0.029353431178103927
0.1,7,1164,22,1,192,0.038080126933756446
0.1,7,1164,22,2,207,0.04105513685045617
0.1,7,1164,22,3,225,0.044625148750495836
0.1,7,1164,22,5,280,0.055533518445061485
0.1,7,1164,22,9,357,0.0708052360174534
0.1,7,1164,22,15,362,0.07179690598968663
0.1,7,1164,22,25,362,0.07179690598968663
0.1,8,1164,71,0,156,0.03094010313367711
0.1,8,1164,71,1,209,0.04145180483934947
0.1,8,1164,71,2,221,0.04383181277270924
0.1,8,1164,71,3,228,0.04522015073383578
0.1,8,1164,71,5,229,0.04541848472828243
0.1,8,1164,71,9,230,0.045616818722729074
0.1,8,1164,71,15,230,0.045616818722729074
0.1,8,1164,71,25,230,0.045616818722729074
0.1,9,1164,43,0,180,0.03570011900039667
0.1,9,1164,43,1,229,0.04541848472828243
0.1,9,1164,43,2,253,0.050178500595001986
0.1,9,1164,43,3,260,0.05156683855612852
0.1,9,1164,43,5,269,0.053351844506148355
0.1,9,1164,43,9,270,0.053550178500595
0.1,9,1164,43,15,272,0.0539468464894883
0.1,9,1164,43,25,273,0.05414518048393495
0.1,10,1164,26,0,142,0.02816342721142404
0.1,10,1164,26,1,177,0.03510511701705672
0.1,10,1164,26,2,181,0.035898452994843316
0.1,10,1164,26,3,198,0.03927013090043634
0.1,10,1164,26,5,250,0.04958349861166204
0.1,10,1164,26,9,323,0.06406188020626735
0.1,10,1164,26,15,323,0.06406188020626735
0.1,10,1164,26,25,323,0.06406188020626735
0.1,11,1164,55,0,268,0.0531535105117017
0.1,11,1164,55,1,387,0.07675525585085284
0.1,11,1164,55,2,427,0.08468861562871877
0.1,11,1164,55,3,435,0.08627528758429195
0.1,11,1164,55,5,453,0.08984529948433162
0.1,11,1164,55,9,456,0.09044030146767155
0.1,11,1164,55,15,456,0.09044030146767155
0.1,11,1164,55,25,456,0.09044030146767155
0.1,12,1164,23,0,87,0.01725505751685839
0.1,12,1164,23,1,111,0.022015073383577947
0.1,12,1164,23,2,123,0.02439508131693772
0.1,12,1164,23,3,138,0.027370091233637445
0.1,12,1164,23,5,202,0.04006346687822293
0.1,12,1164,23,9,204,0.04046013486711622
0.1,12,1164,23,15,204,0.04046013486711622
0.1,12,1164,23,25,204,0.04046013486711622
0.1,13,1164,32,0,80,0.01586671955573185
0.1,13,1164,32,1,84,0.016660055533518445
0.1,13,1164,32,2,89,0.017651725505751687
0.1,13,1164,32,3,93,0.018445061483538278
0.1,13,1164,32,5,96,0.019040063466878223
0.1,13,1164,32,9,101,0.020031733439111465
0.1,13,1164,32,15,101,0.020031733439111465
0.1,13,1164,32,25,101,0.020031733439111465
0.1,14,1164,25,0,83,0.016461721539071796
0.1,14,1164,25,1,144,0.028560095200317333
0.1,14,1164,25,2,167,0.033121777072590244
0.1,14,1164,25,3,180,0.03570011900039667
0.1,14,1164,25,5,213,0.042245140817136054
0.1,14,1164,25,9,215,0.04264180880602935
0.1,14,1164,25,15,215,0.04264180880602935
0.1,14,1164,25,25,215,0.04264180880602935
0.1,15,1164,66,0,170,0.033716779055930186
0.1,15,1164,66,1,246,0.04879016263387544
0.1,15,1164,66,2,291,0.057715192383974614
0.1,15,1164,66,3,313,0.062078540261800874
0.1,15,1164,66,5,315,0.06247520825069417
0.1,15,1164,66,9,316,0.06267354224514082
0.1,15,1164,66,15,316,0.06267354224514082
0.1,15,1164,66,25,316,0.06267354224514082
0.1,16,1164,8,0,23,0.004561681872272907
0.1,16,1164,8,1,30,0.005950019833399445
0.1,16,1164,8,2,32,0.006346687822292741
0.1,16,1164,8,3,32,0.006346687822292741
0.1,16,1164,8,5,36,0.007140023800079333
0.1,16,1164,8,9,40,0.007933359777865925
0.1,16,1164,8,15,40,0.007933359777865925
0.1,16,1164,8,25,40,0.007933359777865925
0.1,17,1164,36,0,115,0.022808409361364537
0.1,17,1164,36,1,154,0.030543435144783818
0.1,17,1164,36,2,166,0.03292344307814359
0.1,17,1164,36,3,174,0.03451011503371678
0.1,17,1164,36,5,177,0.03510511701705672
0.1,17,1164,36,9,179,0.03550178500595002
0.1,17,1164,36,15,179,0.03550178500595002
0.1,17,1164,36,25,179,0.03550178500595002
0.1,18,1164,9,0,41,0.008131693772312574
0.1,18,1164,9,1,48,0.009520031733439112
0.1,18,1164,9,2,54,0.010710035700119
0.1,18,1164,9,3,57,0.011305037683458944
0.1,18,1164,9,5,60,0.01190003966679889
0.1,18,1164,9,9,65,0.01289170963903213
0.1,18,1164,9,15,65,0.01289170963903213
0.1,18,1164,9,25,65,0.01289170963903213
0.1,19,1164,37,0,100,0.019833399444664817
0.1,19,1164,37,1,179,0.03550178500595002
0.1,19,1164,37,2,247,0.048988496628322095
0.1,19,1164,37,3,282,0.05593018643395478
0.1,19,1164,37,5,287,0.05692185640618802
0.1,19,1164,37,9,289,0.05731852439508132
0.1,19,1164,37,15,289,0.05731852439508132
0.1,19,1164,37,25,289,0.05731852439508132
0.1,20,1164,82,0,277,0.054938516461721536
0.1,20,1164,82,1,330,0.0654502181673939
0.1,20,1164,82,2,349,0.0692185640618802
0.1,20,1164,82,3,365,0.07239190797302658
0.1,20,1164,82,5,420,0.08330027766759222
0.1,20,1164,82,9,495,0.09817532725109084
0.1,20,1164,82,15,495,0.09817532725109084
0.1,20,1164,82,25,495,0.09817532725109084
0.1,21,1164,15,0,68,0.013486711622372074
0.1,21,1164,15,1,121,0.023998413328044428
0.1,21,1164,15,2,165,0.03272510908369695
0.1,21,1164,15,3,191,0.0378817929393098
0.1,21,1164,15,5,193,0.03827846092820309
0.1,21,1164,15,9,193,0.03827846092820309
0.1,21,1164,15,15,193,0.03827846092820309
0.1,21,1164,15,25,193,0.03827846092820309
0.1,22,1164,92,0,318,0.06307021023403411
0.1,22,1164,92,1,388,0.07695358984529949
0.1,22,1164,92,2,393,0.07794525981753272
0.1,22,1164,92,3,402,0.07973026576755256
0.1,22,1164,92,5,407,0.0807219357397858
0.1,22,1164,92,9,414,0.08211027370091234
0.1,22,1164,92,15,415,0.08230860769535898
0.1,22,1164,92,25,415,0.08230860769535898
0.1,23,1164,40,0,256,0.05077350257834193
0.1,23,1164,40,1,312,0.06188020626735422
0.1,23,1164,40,2,336,0.06664022213407378
0.1,23,1164,40,3,343,0.06802856009520032
0.1,23,1164,40,5,349,0.0692185640618802
0.1,23,1164,40,9,350,0.06941689805632685
0.1,23,1164,40,15,350,0.06941689805632685
0.1,23,1164,40,25,350,0.06941689805632685
0.1,24,1164,76,0,268,0.0531535105117017
0.1,24,1164,76,1,310,0.061483538278460925
0.1,24,1164,76,2,322,0.06386354621182071
0.1,24,1164,76,3,327,0.06485521618405395
0.1,24,1164,76,5,340,0.06743355811186037
0.1,24,1164,76,9,348,0.06902023006743356
0.1,24,1164,76,15,348,0.06902023006743356
0.1,24,1164,76,25,348,0.06902023006743356
0.1,25,1164,41,0,125,0.02479174930583102
0.1,25,1164,41,1,195,0.03867512891709639
0.1,25,1164,41,2,217,0.04303847679492265
0.1,25,1164,41,3,227,0.04502181673938913
0.1,25,1164,41,5,266,0.052756842522808406
0.1,25,1164,41,9,271,0.05374851249504165
0.1,25,1164,41,15,271,0.05374851249504165
0.1,25,1164,41,25,271,0.05374851249504165
0.15000000000000002,1,1746,39,0,133,0.026378421261404203
0.15000000000000002,1,1746,39,1,186,0.036890122967076555
0.15000000000000002,1,1746,39,2,197,0.039071796905989685
0.15000000000000002,1,1746,39,3,200,0.039666798889329634
0.15000000000000002,1,1746,39,5,204,0.04046013486711622
0.15000000000000002,1,1746,39,9,208,0.041253470844902815
0.15000000000000002,1,1746,39,15,208,0.041253470844902815
0.15000000000000002,1,1746,39,25,208,0.041253470844902815
0.15000000000000002,2,1746,60,0,228,0.04522015073383578
0.15000000000000002,2,1746,60,1,324,0.064260214200714
0.15000000000000002,2,1746,60,2,371,0.07358191193970647
0.15000000000000002,2,1746,60,3,382,0.0757635858786196
0.15000000000000002,2,1746,60,5,387,0.07675525585085284
0.15000000000000002,2,1746,60,9,396,0.07854026180087267
0.15000000000000002,2,1746,60,15,401,0.07953193177310591
0.15000000000000002,2,1746,60,25,401,0.07953193177310591
0.15000000000000002,3,1746,62,0,315,0.06247520825069417
0.15000000000000002,3,1746,62,1,423,0.08389527965093217
0.15000000000000002,3,1746,62,2,452,0.08964696548988496
0.15000000000000002,3,1746,62,3,477,0.09460531535105117
0.15000000000000002,3,1746,62,5,479,0.09500198333994446
0.15000000000000002,3,1746,62,9,483,0.09579531931773105
0.15000000000000002,3,1746,62,15,483,0.09579531931773105
0.15000000000000002,3,1746,62,25,483,0.09579531931773105
0.15000000000000002,4,1746,71,0,224,0.044426814756049184
0.15000000000000002,4,1746,71,1,306,0.06069020230067434
0.15000000000000002,4,1746,71,2,334,0.06624355414518049
0.15000000000000002,4,1746,71,3,356,0.07060690202300675
0.15000000000000002,4,1746,71,5,426,0.08449028163427211
0.15000000000000002,4,1746,71,9,435,0.08627528758429195
0.15000000000000002,4,1746,71,15,435,0.08627528758429195
0.15000000000000002,4,1746,71,25,435,0.08627528758429195
0.15000000000000002,5,1746,79,0,255,0.05057516858389528
0.15000000000000002,5,1746,79,1,379,0.07516858389527965
0.15000000000000002,5,1746,79,2,424,0.08409361364537882
0.15000000000000002,5,1746,79,3,447,0.08865529551765172
0.15000000000000002,5,1746,79,5,489,0.09698532328441095
0.15000000000000002,5,1746,79,9,499,0.09896866322887743
0.15000000000000002,5,1746,79,15,499,0.09896866322887743
0.15000000000000002,5,1746,79,25,499,0.09896866322887743
0.15000000000000002,6,1746,44,0,315,0.06247520825069417
0.15000000000000002,6,1746,44,1,439,0.08706862356207853
0.15000000000000002,6,1746,44,2,464,0.09202697342324474
0.15000000000000002,6,1746,44,3,482,0.09559698532328441
0.15000000000000002,6,1746,44,5,515,0.1021420071400238
0.15000000000000002,6,1746,44,9,515,0.1021420071400238
0.15000000000000002,6,1746,44,15,515,0.1021420071400238
0.15000000000000002,6,1746,44,25,515,0.1021420071400238
0.15000000000000002,7,1746,58,0,224,0.044426814756049184
0.15000000000000002,7,1746,58,1,298,0.05910353034510115
0.15000000000000002,7,1746,58,2,337,0.06683855612852042
0.15000000000000002,7,1746,58,3,370,0.07338357794525982
0.15000000000000002,7,1746,58,5,431,0.08548195160650536
0.15000000000000002,7,1746,58,9,504,0.09996033320111067
0.15000000000000002,7,1746,58,15,504,0.09996033320111067
0.15000000000000002,7,1746,58,25,504,0.09996033320111067
0.15000000000000002,8,1746,103,0,338,0.06703689012296708
0.15000000000000002,8,1746,103,1,426,0.08449028163427211
0.15000000000000002,8,1746,103,2,458,0.09083696945656486
0.15000000000000002,8,1746,103,3,481,0.09539865132883776
0.15000000000000002,8,1746,103,5,577,0.11443871479571599
0.15000000000000002,8,1746,103,9,657,0.13030543435144784
0.15000000000000002,8,1746,103,15,662,0.13129710432368108
0.15000000000000002,8,1746,103,25,662,0.13129710432368108
0.15000000000000002,9,1746,32,0,185,0.03669178897262991
0.15000000000000002,9,1746,32,1,226,0.04482348274494248
0.15000000000000002,9,1746,32,2,246,0.04879016263387544
0.15000000000000002,9,1746,32,3,276,0.05474018246727489
0.15000000000000002,9,1746,32,5,384,0.07616025386751289
0.15000000000000002,9,1746,32,9,457,0.09063863546211821
0.15000000000000002,9,1746,32,15,457,0.09063863546211821
0.15000000000000002,9,1746,32,25,457,0.09063863546211821
0.15000000000000002,10,1746,82,0,371,0.07358191193970647
0.15000000000000002,10,1746,82,1,482,0.09559698532328441
0.15000000000000002,10,1746,82,2,507,0.10055533518445062
0.15000000000000002,10,1746,82,3,528,0.10472034906783023
0.15000000000000002,10,1746,82,5,538,0.10670368901229671
0.15000000000000002,10,1746,82,9,542,0.1074970249900833
0.15000000000000002,10,1746,82,15,542,0.1074970249900833
0.15000000000000002,10,1746,82,25,542,0.1074970249900833
0.15000000000000002,11,1746,80,0,207,0.04105513685045617
0.15000000000000002,11,1746,80,1,304,0.06029353431178104
0.15000000000000002,11,1746,80,2,349,0.0692185640618802
0.15000000000000002,11,1746,80,3,380,0.0753669178897263
0.15000000000000002,11,1746,80,5,393,0.07794525981753272
0.15000000000000002,11,1746,80,9,396,0.07854026180087267
0.15000000000000002,11,1746,80,15,396,0.07854026180087267
0.15000000000000002,11,1746,80,25,396,0.07854026180087267
0.15000000000000002,12,1746,89,0,372,0.07378024593415311
0.15000000000000002,12,1746,89,1,452,0.08964696548988496
0.15000000000000002,12,1746,89,2,498,0.09877032923443078
0.15000000000000002,12,1746,89,3,516,0.10234034113447045
0.15000000000000002,12,1746,89,5,533,0.10571201904006347
0.15000000000000002,12,1746,89,9,545,0.10809202697342324
0.15000000000000002,12,1746,89,15,550,0.10908369694565649
0.15000000000000002,12,1746,89,25,550,0.10908369694565649
0.15000000000000002,13,1746,106,0,476,0.09440698135660452
0.15000000000000002,13,1746,106,1,639,0.12673542245140818
0.15000000000000002,13,1746,106,2,687,0.13625545418484727
0.15000000000000002,13,1746,106,3,712,0.1412138040460135
0.15000000000000002,13,1746,106,5,716,0.14200714002380008
0.15000000000000002,13,1746,106,9,723,0.1433954779849266
0.15000000000000002,13,1746,106,15,724,0.14359381197937326
0.15000000000000002,13,1746,106,25,725,0.14379214597381992
0.15000000000000002,14,1746,71,0,234,0.04641015470051567
0.15000000000000002,14,1746,71,1,345,0.06842522808409361
0.15000000000000002,14,1746,71,2,417,0.08270527568425227
0.15000000000000002,14,1746,71,3,446,0.08845696152320508
0.15000000000000002,14,1746,71,5,506,0.10035700119000397
0.15000000000000002,14,1746,71,9,514,0.10194367314557715
0.15000000000000002,14,1746,71,15,515,0.1021420071400238
0.15000000000000002,14,1746,71,25,516,0.10234034113447045
0.15000000000000002,15,1746,57,0,294,0.058310194367314556
0.15000000000000002,15,1746,57,1,374,0.07417691392304641
0.15000000000000002,15,1746,57,2,393,0.07794525981753272
0.15000000000000002,15,1746,57,3,402,0.07973026576755256
0.15000000000000002,15,1746,57,5,408,0.08092026973423244
0.15000000000000002,15,1746,57,9,409,0.0811186037286791
0.15000000000000002,15,1746,57,15,410,0.08131693772312575
0.15000000000000002,15,1746,57,25,410,0.08131693772312575
0.15000000000000002,16,1746,47,0,253,0.050178500595001986
0.15000000000000002,16,1746,47,1,402,0.07973026576755256
0.15000000000000002,16,1746,47,2,455,0.09024196747322491
0.15000000000000002,16,1746,47,3,461,0.0914319714399048
0.15000000000000002,16,1746,47,5,470,0.09321697738992463
0.15000000000000002,16,1746,47,9,474,0.09401031336771122
0.15000000000000002,16,1746,47,15,479,0.09500198333994446
0.15000000000000002,16,1746,47,25,479,0.09500198333994446
0.15000000000000002,17,1746,66,0,284,0.05632685442284808
0.15000000000000002,17,1746,66,1,417,0.08270527568425227
0.15000000000000002,17,1746,66,2,470,0.09321697738992463
0.15000000000000002,17,1746,66,3,489,0.09698532328441095
0.15000000000000002,17,1746,66,5,529,0.10491868306227688
0.15000000000000002,17,1746,66,9,541,0.10729869099563666
0.15000000000000002,17,1746,66,15,546,0.1082903609678699
0.15000000000000002,17,1746,66,25,546,0.1082903609678699
0.15000000000000002,18,1746,50,0,301,0.05969853232844109
0.15000000000000002,18,1746,50,1,382,0.0757635858786196
0.15000000000000002,18,1746,50,2,405,0.0803252677508925
0.15000000000000002,18,1746,50,3,410,0.08131693772312575
0.15000000000000002,18,1746,50,5,425,0.08429194763982546
0.15000000000000002,18,1746,50,9,430,0.0852836176120587
0.15000000000000002,18,1746,50,15,430,0.0852836176120587
0.15000000000000002,18,1746,50,25,430,0.0852836176120587
0.15000000000000002,19,1746,96,0,260,0.05156683855612852
0.15000000000000002,19,1746,96,1,323,0.06406188020626735
0.15000000000000002,19,1746,96,2,348,0.06902023006743356
0.15000000000000002,19,1746,96,3,354,0.07021023403411344
0.15000000000000002,19,1746,96,5,356,0.07060690202300675
0.15000000000000002,19,1746,96,9,359,0.07120190400634668
0.15000000000000002,19,1746,96,15,360,0.07140023800079334
0.15000000000000002,19,1746,96,25,361,0.07159857199523999
0.15000000000000002,20,1746,36,0,127,0.025188417294724316
