id,pub_id,assigned,assigned_to,asssigned_timestamp
2738,PMC4421706,1,henryrossiter,2018-02-04 11:06:02
2739,PMC3134982,1,henryrossiter,2018-02-04 11:12:31
2740,PMC4727202,1,jackchristen,2018-02-04 11:48:18
2741,PMC3640157,1,carsonbrown19,2018-02-04 13:51:58
2742,PMC4863732,1,carsonbrown19,2018-02-04 13:55:11
2743,PMC4150658,1,carsonbrown19,2018-02-04 14:00:23
2744,PMC3448160,1,carsonbrown19,2018-02-04 14:02:24
2745,PMC4608057,1,henryrossiter,2018-02-04 17:54:43
2746,PMC3881477,1,henryrossiter,2018-02-04 17:56:26
2747,PMC5001609,1,yashkar,2018-02-05 03:09:08
2748,PMC2850939,1,yashkar,2018-02-05 03:11:12
2749,PMC5214516,1,yashkar,2018-02-05 03:11:26
2750,PMC3518713,1,yashkar,2018-02-05 03:11:45
2751,PMC4870320,1,yashkar,2018-02-05 03:12:02
2752,PMC4310378,1,yashkar,2018-02-05 03:43:46
2753,PMC3994298,1,ankimnguyen,2018-02-05 18:38:39
2754,PMC5108428,1,ankimnguyen,2018-02-05 19:07:35
2755,PMC4985391,1,henryrossiter,2018-02-05 20:20:20
2756,PMC4531628,1,henryrossiter,2018-02-05 20:32:26
2757,PMC4631805,1,jackchristen,2018-02-05 20:42:02
2758,PMC3692048,1,henryrossiter,2018-02-05 20:56:53
2759,PMC3630328,1,jackchristen,2018-02-05 21:17:59
2760,PMC5358904,1,jackchristen,2018-02-05 21:41:42
2761,PMC3400920,1,ankimnguyen,2018-02-06 13:22:03
2762,PMC4133065,1,ankimnguyen,2018-02-06 13:28:51
2763,PMC4818058,1,ankimnguyen,2018-02-06 13:51:25
2764,PMC4280825,1,ankimnguyen,2018-02-06 13:52:35
2765,PMC2627247,1,ankimnguyen,2018-02-06 18:09:48
2766,PMC3766914,1,ankimnguyen,2018-02-06 18:18:58
2767,PMC2830412,1,ankimnguyen,2018-02-06 18:31:13
2768,PMC5310261,1,ankimnguyen,2018-02-06 18:48:43
2769,PMC4390742,1,jackchristen,2018-02-06 22:19:12
2770,PMC3357243,1,jackchristen,2018-02-06 23:09:39
2771,PMC3537159,1,jackchristen,2018-02-06 23:12:33
2772,PMC3341248,1,jackchristen,2018-02-06 23:22:19
2773,PMC3893710,1,evelynkue,2018-02-07 00:51:54
2774,PMC4539087,1,meganpearson,2018-02-07 12:35:17
2775,PMC4120417,1,evelynkue,2018-02-07 22:24:38
2776,PMC5279962,1,evelynkue,2018-02-07 23:04:14
2777,PMC4843871,1,evelynkue,2018-02-07 23:25:30
2778,PMC3546086,1,meganpearson,2018-02-08 08:57:46
2779,PMC3650246,1,meganpearson,2018-02-08 09:02:38
2780,PMC4165303,1,mjsong1201,2018-02-08 14:27:41
2781,PMC4069613,1,henryrossiter,2018-02-08 18:20:58
2782,PMC2803435,1,evelynkue,2018-02-08 23:32:10
2783,PMC3808127,1,jackchristen,2018-02-08 23:52:37
2784,PMC4834041,1,evelynkue,2018-02-09 00:29:00
2785,PMC3537160,1,jackchristen,2018-02-09 00:49:31
2786,PMC3768664,1,mjsong1201,2018-02-09 09:31:33
2787,PMC5155187,1,jackchristen,2018-02-09 10:01:21
2788,PMC3374006,1,mrcyndns,2018-02-09 10:06:34
2789,PMC4241901,1,jackchristen,2018-02-09 10:09:22
2790,PMC3532996,1,oceanwall,2018-02-09 10:09:31
2791,PMC4338086,1,mjsong1201,2018-02-09 10:19:27
2792,PMC3811794,1,oceanwall,2018-02-09 10:20:01
2793,PMC5094513,1,jackchristen,2018-02-09 10:21:51
2794,PMC4791326,1,oceanwall,2018-02-09 10:22:17
2795,PMC4073488,1,oceanwall,2018-02-09 10:26:34
2796,PMC4898791,1,realrichardparker,2018-02-09 10:26:58
2797,PMC3442822,1,henryrossiter,2018-02-09 10:32:46
2798,PMC3335898,1,mrcyndns,2018-02-09 10:34:47
2799,PMC3015772,1,oceanwall,2018-02-09 10:36:32
2800,PMC5379215,1,jackchristen,2018-02-09 10:46:06
2801,PMC5122670,1,jackchristen,2018-02-09 10:51:27
