JHEP
ATLAS
ALICE
PHENIX
Fermilab
FOCUS
MINOS
BABAR
BaBar
ILC
SUSY
PLANCK
Lepto
LEPTO
OPERA
CERN
ICARUS
ALEPH
CLEO
Belle
TOTEM
COMPASS
Compass
DESY
HERMES
JLab
ZEUS
ANTARES
MOLLER
-
LIGO
Virgo
VIRGO
Waveburst
NOvA
CMS
Nuc. Phys
BESIII
BEPCII
Average
-2
KLOE
KTeV
JADE
Saclay
III
E
3
2
DAMA
LIBRA
JLAB
MAMI
ORKA
Deppman
Simulation
SCOAP
m
L
MV
M
P
S
B
Q
PTEP
ICAL
COMPETE
COM-PETE
RICH
ABRACADARBA
EE
SK
Daya-Bay
RENO
T2K
T2
INGRID
280
CNGS
LBNF
DUNE
DAMA
b
CLIC
README.md
README
EMCal
SELEX
t
T
NRQCD
pNRQCD
q
p
f
Rose
LIBRA
COSINE
COSINE-100
k t
LUCID
.
m inv
Box
of
KATRIN
Super-Kamiokande
IceCube-DeepCore
IceCube
GALLEX
SAGE
CASTOR
tt
MicroBooNE
NOvA
MINERvA
GENIE
NEUT
NuWro
ADONE
OR
AND
CLEO-c
MAGIC
VERITAS
JPS
ND
SND
CMD
CMD-2
VEPP-2M
VEPP
SIDIS
PHOKHARA
L s
NA
G
KOTO
MiniBooNE
5
MG
Detector
org.
MM
